datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
6/27/2023 4:00:00 AM,6/27/2023 12:00:00 AM,1,PJM-RTO,,,ZONE,,19.68,19.687104,-0.066930,0.074035,True,1
6/27/2023 4:00:00 AM,6/27/2023 12:00:00 AM,3,MID-ATL/APS,,,ZONE,,19.68,19.388339,-0.735839,0.444178,True,1
6/27/2023 4:00:00 AM,6/27/2023 12:00:00 AM,51291,AECO,,,ZONE,,19.68,19.354587,-0.228926,-0.096487,True,1
6/27/2023 4:00:00 AM,6/27/2023 12:00:00 AM,51292,BGE,,,ZONE,,19.68,20.160540,-0.091386,0.571926,True,1
6/27/2023 4:00:00 AM,6/27/2023 12:00:00 AM,51293,DPL,,,ZONE,,19.68,19.472716,-0.217826,0.010542,True,1
6/27/2023 4:00:00 AM,6/27/2023 12:00:00 AM,51295,JCPL,,,ZONE,,19.68,19.321368,-0.230067,-0.128565,True,1
6/27/2023 4:00:00 AM,6/27/2023 12:00:00 AM,51296,METED,,,ZONE,,19.68,18.976629,-0.304099,-0.399272,True,1
6/27/2023 4:00:00 AM,6/27/2023 12:00:00 AM,51297,PECO,,,ZONE,,19.68,19.076615,-0.220222,-0.383163,True,1
6/27/2023 4:00:00 AM,6/27/2023 12:00:00 AM,51298,PEPCO,,,ZONE,,19.68,20.128312,-0.122123,0.570435,True,1
6/27/2023 4:00:00 AM,6/27/2023 12:00:00 AM,51299,PPL,,,ZONE,,19.68,17.826677,-1.253116,-0.600207,True,1
6/27/2023 4:00:00 AM,6/27/2023 12:00:00 AM,51300,PENELEC,,,ZONE,,19.68,21.988018,2.232937,0.075081,True,1
6/27/2023 4:00:00 AM,6/27/2023 12:00:00 AM,51301,PSEG,,,ZONE,,19.68,19.362384,-0.224572,-0.093044,True,1
6/27/2023 4:00:00 AM,6/27/2023 12:00:00 AM,7633629,RECO,,,ZONE,,19.68,22.124948,2.480012,-0.035064,True,1
6/27/2023 4:00:00 AM,6/27/2023 12:00:00 AM,8394954,APS,,,ZONE,,19.68,19.491868,-0.236748,0.048616,True,1
6/27/2023 4:00:00 AM,6/27/2023 12:00:00 AM,8445784,AEP,,,ZONE,,19.68,19.778743,0.117637,-0.018894,True,1
6/27/2023 4:00:00 AM,6/27/2023 12:00:00 AM,33092371,COMED,,,ZONE,,19.68,19.492736,0.607470,-0.794734,True,1
