Country,Model,Voll,Deviation_proposed,Deviation_baseline,Deviation,Value,Total Cost,Ratio,Value_baseline,Value_proposed
Germany,Proposed_vs_impactnet,12610.0,67179.65528600727,211874.78172431525,144695.126438308,1824605.544387064,983120862.126496,0.001855932077812317,2671740997.5436153,847135453.1565516
Germany,Proposed_vs_informer,12610.0,67179.65528600727,251553.29942746207,184373.64414145483,2324951.652623745,983120862.126496,0.0023648685957033417,3172087105.7802963,847135453.1565516
Germany,Proposed_vs_LSTM,12610.0,67179.65528600727,106120.44274400867,38940.7874580014,491043.3298453977,983120862.126496,0.0004994740207051127,1338178783.0019493,847135453.1565516
Germany,Proposed_vs_nbeats,12610.0,67179.65528600727,110830.33052195673,43650.675235949464,550435.0147253227,983120862.126496,0.0005598853975438266,1397570467.881874,847135453.1565516
Germany,Proposed_vs_ANN,12610.0,67179.65528600727,118882.41130451238,51702.75601850511,651971.7533933495,983120862.126496,0.0006631654138466057,1499107206.549901,847135453.1565516
Belgium,Proposed_vs_autoformer,13455.0,15721.947908640004,115987.62292002,100265.67501138,1349074.6572781177,167933906.48709342,0.008033366730391643,1560613466.388869,211538809.11075127
Belgium,Proposed_vs_CNN,13455.0,15721.947908640004,42456.65225922,26734.704350579992,359715.4470370538,167933906.48709342,0.0021420060698980987,571254256.147805,211538809.11075127
Belgium,Proposed_vs_impactnet,13455.0,15721.947908640004,40984.334359019995,25262.386450379985,339905.4096898627,167933906.48709342,0.0020240427725415067,551444218.800614,211538809.11075127
Belgium,Proposed_vs_informer,13455.0,15721.947908640004,44915.36300298,29193.41509434,392797.40009434475,167933906.48709342,0.002338999957251237,604336209.2050959,211538809.11075127
Belgium,Proposed_vs_LSTM,13455.0,15721.947908640004,27240.229968300002,11518.282059659996,154978.48511272523,167933906.48709342,0.0009228540463008649,366517294.2234765,211538809.11075127
Belgium,Proposed_vs_nbeats,13455.0,15721.947908640004,26805.02552658,11083.077617939998,149122.80934938267,167933906.48709342,0.0008879851155064003,360661618.4601339,211538809.11075127
Belgium,Proposed_vs_ANN,13455.0,15721.947908640004,28632.1161474,12910.168238759996,173706.31365251573,167933906.48709342,0.0010343730893074053,385245122.76326704,211538809.11075127
Latvia,Proposed_vs_autoformer,6373.0,1208.6859484799995,7006.596906239998,5797.910957759998,36950.08653380447,22058457.19764457,0.0016750984079589232,44653042.08346751,7702955.549663037
Latvia,Proposed_vs_CNN,6373.0,1208.6859484799995,665.72299872,-542.9629497599996,-3460.3028788204774,22058457.19764457,-0.0001568696689807469,4242652.67084256,7702955.549663037
Latvia,Proposed_vs_impactnet,6373.0,1208.6859484799995,2239.8711840000005,1031.1852355200008,6571.743505968965,22058457.19764457,0.0002979239865728554,14274699.055632003,7702955.549663037
Latvia,Proposed_vs_informer,6373.0,1208.6859484799995,2801.1685507199995,1592.4826022400002,10148.891624075522,22058457.19764457,0.0004600907277032609,17851847.173738558,7702955.549663037
Latvia,Proposed_vs_LSTM,6373.0,1208.6859484799995,1301.42253312,92.7365846400005,591.0102539107232,22058457.19764457,2.6792909794880492e-05,8293965.803573761,7702955.549663037
Latvia,Proposed_vs_nbeats,6373.0,1208.6859484799995,1518.6956716799994,310.0097231999997,1975.6919659535981,22058457.19764457,8.956618988587131e-05,9678647.515616637,7702955.549663037
Latvia,Proposed_vs_ANN,6373.0,1208.6859484799995,2173.2771312000004,964.5911827200009,6147.339607474566,22058457.19764457,0.0002786840236556067,13850295.157137603,7702955.549663037
Italy,Proposed_vs_autoformer,16210.0,114337.36578391201,224909.102508296,110571.736724384,1792367.8523022647,742696879.840535,0.0024133235253218045,3645776551.659478,1853408699.357214
Italy,Proposed_vs_CNN,16210.0,114337.36578391201,267118.3552952,152780.989511288,2476579.8399779787,742696879.840535,0.0033345768740939466,4329988539.335192,1853408699.357214
Italy,Proposed_vs_impactnet,16210.0,114337.36578391201,84664.90617693598,-29672.459606976015,-480990.57022908126,742696879.840535,-0.0006476270242744995,1372418129.1281323,1853408699.357214
Italy,Proposed_vs_informer,16210.0,114337.36578391201,116237.91685689591,1900.5510729839152,30807.932893069268,742696879.840535,4.1481166447991625e-05,1884216632.250283,1853408699.357214
Italy,Proposed_vs_LSTM,16210.0,114337.36578391201,86119.95522723999,-28217.410556672017,-457404.2251236534,742696879.840535,-0.0006158693237298411,1396004474.2335603,1853408699.357214
Italy,Proposed_vs_nbeats,16210.0,114337.36578391201,119092.10532241604,4754.739538504033,77074.32791915037,742696879.840535,0.00010377629152784249,1930483027.276364,1853408699.357214
Italy,Proposed_vs_ANN,16210.0,114337.36578391201,111282.73982043998,-3054.6259634720227,-49515.48686788149,742696879.840535,-6.666984635577437e-05,1803893212.489332,1853408699.357214
Hungary,Proposed_vs_autoformer,7444.0,1423.2281599766993,37910.5285626774,36487.3004027007,271611.464197704,91751772.96326718,0.0029602857299165612,282205974.62057054,10594510.42286655
Hungary,Proposed_vs_CNN,7444.0,1423.2281599766993,25901.319844066806,24478.091684090105,182214.91449636675,91751772.96326718,0.0019859552421871616,192809424.91923332,10594510.42286655
Hungary,Proposed_vs_impactnet,7444.0,1423.2281599766993,16953.341710890905,15530.113550914204,115606.16527300533,91751772.96326718,0.001259988352696882,126200675.69587189,10594510.42286655
Hungary,Proposed_vs_informer,7444.0,1423.2281599766993,11412.691412614797,9989.463252638097,74361.56445263799,91751772.96326718,0.0008104646052170418,84956074.87550455,10594510.42286655
Hungary,Proposed_vs_LSTM,7444.0,1423.2281599766993,13806.552553378198,12383.3243934015,92181.46678448077,91751772.96326718,0.0010046832209050132,102775977.20734732,10594510.42286655
Hungary,Proposed_vs_nbeats,7444.0,1423.2281599766993,14169.790852165203,12746.562692188503,94885.41268065122,91751772.96326718,0.0010341534513849514,105479923.10351777,10594510.42286655
Hungary,Proposed_vs_ANN,7444.0,1423.2281599766993,5581.134354526495,4157.906194549796,30951.453712228682,91751772.96326718,0.0003373390258586076,41545964.13509523,10594510.42286655
Romania,Proposed_vs_autoformer,8880.0,9055.448373099993,73219.01028125001,64163.56190815002,569772.4297443723,124401472.01081571,0.004580110030328541,650184811.2975001,80412381.55312794
Romania,Proposed_vs_CNN,8880.0,9055.448373099993,16018.648701150003,6963.200328050011,61833.21891308411,124401472.01081571,0.0004970457174952737,142245600.46621206,80412381.55312794
Romania,Proposed_vs_impactnet,8880.0,9055.448373099993,10296.921816549995,1241.4734434500024,11024.284177836022,124401472.01081571,8.861859911816437e-05,91436665.73096398,80412381.55312794
Romania,Proposed_vs_informer,8880.0,9055.448373099993,11747.380918899988,2691.932545799993,23904.36100670394,124401472.01081571,0.00019215496907163323,104316742.5598319,80412381.55312794
Romania,Proposed_vs_LSTM,8880.0,9055.448373099993,15876.682784850007,6821.2344117500115,60572.56157634011,124401472.01081571,0.00048691193598636684,140984943.12946808,80412381.55312794
Romania,Proposed_vs_nbeats,8880.0,9055.448373099993,27825.65822675,18770.20985365001,166679.4635004121,124401472.01081571,0.0013398512156344955,247091845.05354005,80412381.55312794
Romania,Proposed_vs_ANN,8880.0,9055.448373099993,9199.765227150005,144.31685405001008,1281.5336639640896,124401472.01081571,1.0301595658391169e-05,81693915.21709204,80412381.55312794
France,Proposed_vs_autoformer,8193.0,102944.22087493604,522305.35382981756,419361.1329548815,3435825.7622993444,1139393782.6516733,0.0030154857913155023,4279247763.9276953,843422001.628351
