model,mape,cost,potential load loss
Proposed,4.862662553915113,27821319.712878145,10133.728991130005
autoformer,7.712181884612801,27738378.421631142,8988.394543320002
CNN,6.201971966259388,27817703.397981763,19970.680590575
impactnet,6.177120347967584,27734343.580748904,14491.815260300002
informer,6.287299211144355,27727633.92012447,13525.543020850004
LSTM,4.96914521251742,27916191.33678272,13786.151666180001
nbeats,6.062080146934845,27787866.75381379,14319.742626350002
ANN,6.997570633111037,27789267.080361053,13387.614478430003
