model,mape,cost,potential load loss
Proposed,4.38993541180176,21692332.783983447,7745.46516914822
autoformer,6.748161888605596,21946750.49807535,37163.30412155751
CNN,5.250359766163004,21801619.31937785,19819.47336619962
impactnet,5.130201088319175,21688297.2957189,10789.42558602434
informer,9.572000594942919,21709589.913823485,6964.92635290684
LSTM,4.741217026339472,21652228.455675613,8311.021930038401
nbeats,5.015444666291277,21742946.143291738,10798.454476816758
ANN,5.05808697080371,21766939.9678109,18159.598821420404
