model,mape,cost,potential load loss
Proposed,3.68432582399765,38370818.085534096,22781.31990234165
autoformer,8.491659520504705,39441228.892199434,85984.443261512
CNN,6.883606881465466,38737156.77183043,27594.4238539953
impactnet,5.624714174336501,38419215.9158314,27555.239845444234
informer,6.108741802794074,38280981.16781126,29844.491515390655
LSTM,5.043634925757823,38653105.95485104,38515.99111594045
nbeats,6.9717648031226345,38881968.23815271,40138.51406930455
ANN,6.732862556547165,39142932.23986313,64370.135137668236
