model,mape,cost,potential load loss
Proposed,3.099379699180605,191355506.0748586,53479.48731143445
autoformer,6.465561033563078,190733493.52198845,68063.96157847272
CNN,3.9868146129752273,190795906.9161089,58812.74253710761
impactnet,3.21499383117584,190958518.35872963,49257.3459332045
informer,3.801056934979446,191309335.5941243,120702.9572460791
LSTM,3.4426761968204302,191423347.3520258,27632.24416049759
nbeats,3.7978213086653265,191468225.72451857,82496.02804763927
ANN,4.613669537619281,190613735.31422067,84433.36412589802
