model,mape,cost,potential load loss
Proposed,3.2448130052317454,75638590.60172337,32812.23965100108
autoformer,5.121817338163051,75764080.8284964,28942.753539767196
CNN,4.579357643199051,75582636.30225031,28427.531113094552
impactnet,4.146457864749134,75680207.81848174,44626.70376467795
informer,5.049793391424912,75392349.71808808,51824.310024065155
LSTM,3.8289073080206917,75675240.56795225,23281.37762642219
nbeats,3.9731404795581673,75780901.2834121,41633.951262575036
ANN,4.2299535581752785,75683388.01400736,46740.5689408616
