model,mape,cost,potential load loss
Proposed,3.505353542338486,67610314.51982403,27132.84570209167
autoformer,7.5813994296955345,68521891.986615,64824.272972800914
CNN,6.123490177839453,68170544.04134685,44712.194122887224
impactnet,4.043166024439835,68353913.31271596,43593.29099300048
informer,5.862768168412212,68366703.5983985,43052.61953818156
LSTM,3.978863728280823,68036614.95357838,43204.896431467925
nbeats,6.5744676341318895,68383756.25314522,62376.641015425106
ANN,5.907226078776853,69018698.21780893,102048.22796007308
