model,mape,cost,potential load loss
Proposed,3.20545457232062,16759821.695766522,7996.865872621562
autoformer,6.710726159213995,16857485.23057933,15584.592479973748
CNN,5.430477713689966,16758710.044456977,11648.435297363012
impactnet,4.2616708356603406,16764039.513954433,9580.13635760134
informer,5.020972612831231,16715584.018318776,10913.249986522496
LSTM,3.4715261336975485,16738229.042587679,9095.841284990764
nbeats,4.9646047069206904,16922225.70185568,13715.050061288322
ANN,5.1631179624653925,16968205.643396042,21361.797111618605
