model,mape,cost,potential load loss
Proposed,3.567048432621536,50151373.13369845,20165.87480209848
autoformer,5.521193802559436,50527979.2188813,30982.69985147596
CNN,3.902622803605607,50463021.637930006,20286.708486165662
impactnet,3.1718459269106365,50602609.82515022,29960.262477847235
informer,5.604097416476866,50324975.141483516,37145.97095322526
LSTM,4.313507944919184,50395082.23116167,34435.36439463821
nbeats,4.225521391960839,50601662.15572613,37517.4270082024
ANN,4.603680033913147,50625356.9208069,35741.36788932374
