model,mape,cost,potential load loss
Proposed,2.2491736370873707,219778382.79397333,80364.39882759113
autoformer,5.4620661807276845,220050824.99757427,295314.99286060355
CNN,3.1036159786415696,219957987.94379565,120752.0010480243
impactnet,2.4891312634988805,219698081.9025221,108266.60732795218
informer,4.016008671997649,220844979.69301662,206403.66221259726
LSTM,2.7229244853227916,220639307.50150007,129773.16484233987
nbeats,2.6398336401049765,219810599.41279364,110299.61779264521
ANN,3.3279987509979128,220311845.09013134,147405.750642079
