model,mape,cost,potential load loss
Proposed,3.677891762017762,24827578.922145996,9905.46936856945
autoformer,4.940318435128411,24945196.55792905,6701.449261251154
CNN,4.372696961265169,24802835.717995808,6536.328394851071
impactnet,4.403196310789464,24849639.086936142,10016.157788551238
informer,4.719776783365651,24835561.373129643,15122.274922921115
LSTM,3.867569373640948,24931107.08669769,8188.730576996135
nbeats,4.053011092288475,24876657.20798211,13100.373029920642
ANN,4.65144104280604,24923407.493463505,10898.77206799576
