model,mape,cost,potential load loss
Proposed,4.548719128279438,143374102.6960665,38287.32633089051
autoformer,8.688553087933904,143616926.14136463,174320.38259691076
CNN,5.560999656820434,143331082.27638367,74669.08247352613
impactnet,7.1027855267602575,143162323.9389957,88722.23501712977
informer,4.6443685028761985,143276128.21683893,75480.92304533307
LSTM,4.378337481297572,143202074.23498046,47796.544060828586
nbeats,7.088123720941477,143521995.6212839,99638.25979215195
ANN,6.150160915186205,143423859.13865477,113634.13055439599
