model,mape,cost,potential load loss
Proposed,4.694639734279404,43686785.66560958,6383.339230167538
autoformer,9.04389012226377,43803677.77232097,18756.062990865634
CNN,6.173556876497391,43839509.2189033,20867.768978148597
impactnet,6.555504493902125,43727259.864127904,20581.893929173035
informer,5.626709070885833,43788463.279473126,14146.311787407136
LSTM,5.7275052780020745,43941050.70262402,29276.426587868915
nbeats,5.344500682906276,43812684.96890978,23616.84631683406
ANN,6.140693742532243,43657274.52533616,13951.699595494538
