only without similarity ,
0.04126121,0.054183632333053726
0.02823828,0.03316427248505536
0.03776635,0.05334605445468296
0.021139523,0.026207586750284468
0.01632083,0.021587238644978787
0.020368146,0.02568507789712906
0.016917294,0.021497285232127038
0.04071736,0.055313279444287274
0.027607903,0.03459874508467743
0.02762827,0.03454502323367613
0.024117664,0.03337639847333384
0.026830869,0.03758223427849887
0.014709693,0.018226180124781017
0.0184836,0.022469983160250305
0.021701762,0.027820155634780696
0.024488246,0.03349996346703848
0.02003369,0.02558938608146399
0.040947568,0.05029080047828691
0.026071014,
